"","id","review_date","location","restaurant_name","review"
"1","rn581307988","Reviewed yesterday "," Kata Beach","odysseus greek organic restaurant","Food was tasty and fresh. Fast service. The owner was super friendly and the price was great for 2. Highly recommend the souvlaki."
"2","rn580977661","Reviewed 2 days ago "," Kata Beach","odysseus greek organic restaurant","Great variety of Greek dishes and fantastic service. Staff was friendly and helpful. I had the souvlaki, it was reasonably priced and tasted great."
"3","rn580827047","Reviewed 3 days ago "," Kata Beach","odysseus greek organic restaurant","We had an excellent culinary experience at this new restaurant in Phuket. Moussaka was delicious, so was tzatziki.
Greek hospitality at its best. Dimitris was super friendly, helpful and loads of fun."
"4","rn580517333","Reviewed 5 days ago "," Kata Beach","odysseus greek organic restaurant","Amazing service and food! Highly recommend if you are looking to get a full Greek experience. Freshest ingredients in Thailand and the owner puts a lot of love into his restaurant, the food, and it’s visitors. We had moussaka and pork souvlaki. Some of the...More"
"5","rn580035619","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","This restaurant is tucked away near the square. We went through trip advisor recommendation with it showing as the best restaurant in Kata but had limited reviews. The food was all fresh and had so much flavour to it. good portion size and all came...More"
"6","rn579558058","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","Had possibly the best meal we have had in Kata in 10 years of staying here last night. Fresh authentic flavours, good portion sizes, very reasonably priced and the enthusiasm of our delightful host Dimitri was infectious!
Highly recommend, and looking forward to visiting again!!...More"
"7","rn579313092","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","We thoroughly enjoyed our experience at this restaurant. The food was amazing and the owner was a real character (in a nice way) You have to try it to believe it"
"8","rn579253569","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","The food is great! Loved the pork gyros so much so some ordered a second, service is excellent and the manager entertaining.
You can’t see this restaurant from the street but it’s just inside the Palm square and well worth visit for some traditional Greek...More"
"9","rn579219251","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","Food was really good and had very clean premises, unlike many other places in Karon/ kata. The manager was very friendly and aided our requirements.
Would come back again! :)"
"10","rn579028607","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","A lovely little restaurant! Food was lovely, service with a cheeky smile and reasonable prices!
Would recommend!"
"11","rn578920806","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","The food Is absolutely great and prices Are reasonable.
We Ate here at least three times and everytime food was delicious. Loved the pork and gyros!
Service Is really good too.
It's inside the Palm square so You can't see this restaurant from the street....More"
"12","rn578788474","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","Great food, staff, decor, music and vibes once you walk in..
Food was brilliant, happy healthy grub! We got 2 Tofu Pita’s, plenty of dippin’ with the oil on the table so delicious not a pinch left on either plate.
Dimitri the owner/chef is a...More"
"13","rn578773632","Reviewed 1 week ago "," Kata Beach","odysseus greek organic restaurant","Had the most amazing tofu pita. They cater really well to vegetarians and will cook the tofu the way you want. Will definitely come back best the hummus looked really good"
"14","rn578387507","Reviewed 2 weeks ago "," Kata Beach","odysseus greek organic restaurant","We came here as a treat for our last night in Phuket (whilst not as pricy as UK restaurant prices, this was the most we spent on a meal in Asia over 2 months!) but it was totally worth it. The owner/ chef came out...More"
"15","rn578279923","Reviewed 2 weeks ago "," Kata Beach","odysseus greek organic restaurant","Excellent service and food, real Greek food! Mousaka, tzatsiki and pita were fantastic!!
Highly recommend!"
"16","rn577994606","Reviewed 2 weeks ago "," Kata Beach","odysseus greek organic restaurant","Came in for a quick lunch on Mum's birthday. Service was lovely, The owner friendly and informative.
The food was delicious! Organic hommus was the best I've had ever!"
"17","rn577658800","Reviewed 2 weeks ago "," Kata Beach","odysseus greek organic restaurant","We have been in puket for the past week and was getting fed up with the same food. Food this place on trip advisor and gave it a go. Do not hesitate to try!!!! Fantastic place with fresh food and the owner is outstanding. Fantastic...More"
