 
                                                                                                                                                                                                                                                                
 
The FREQ Procedure

                                    Cumulative    Cumulative
cluster    Frequency     Percent     Frequency      Percent
------------------------------------------------------------
      1           8        8.00             8         8.00  
      2           6        6.00            14        14.00  
      3           7        7.00            21        21.00  
      4           8        8.00            29        29.00  
      5          15       15.00            44        44.00  
      6           7        7.00            51        51.00  
      7           5        5.00            56        56.00  
      8           8        8.00            64        64.00  
      9           8        8.00            72        72.00  
     10           7        7.00            79        79.00  
     11          11       11.00            90        90.00  
     12          10       10.00           100       100.00  
